Date,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
10/25/2016,21600001,Final,1610612739,1610612752,2016,1610612739,117,0.479,0.737,0.371,31,51,1610612752,88,0.368,0.75,0.333,17,42,1
10/25/2016,21600002,Final,1610612757,1610612762,2016,1610612757,113,0.52,1,0.684,22,34,1610612762,104,0.488,1,0.333,19,31,1
10/25/2016,21600003,Final,1610612744,1610612759,2016,1610612744,100,0.471,0.722,0.212,24,35,1610612759,129,0.48,0.885,0.5,25,55,0
10/26/2016,21600007,Final,1610612761,1610612765,2016,1610612761,109,0.477,0.828,0.167,17,51,1610612765,91,0.417,0.773,0.182,17,40,1
10/26/2016,21600009,Final,1610612763,1610612750,2016,1610612763,102,0.45,0.704,0.458,19,45,1610612750,98,0.419,0.69,0.333,20,45,1
10/26/2016,21600011,Final,1610612755,1610612760,2016,1610612755,97,0.429,0.72,0.292,21,43,1610612760,103,0.415,0.731,0.273,19,53,0
10/26/2016,21600008,Final,1610612749,1610612766,2016,1610612749,96,0.424,0.75,0.188,23,46,1610612766,107,0.449,0.833,0.304,27,51,0
10/26/2016,21600010,Final,1610612740,1610612743,2016,1610612740,102,0.413,0.885,0.158,31,33,1610612743,107,0.446,0.758,0.333,18,58,0
10/26/2016,21600004,Final,1610612753,1610612748,2016,1610612753,96,0.382,0.786,0.333,20,45,1610612748,108,0.485,0.625,0.25,27,52,0
10/26/2016,21600012,Final,1610612756,1610612758,2016,1610612756,94,0.468,0.667,0.25,20,41,1610612758,113,0.512,0.731,0.286,24,41,0
10/26/2016,21600013,Final,1610612747,1610612745,2016,1610612747,120,0.506,0.818,0.343,21,39,1610612745,114,0.512,0.704,0.241,29,39,1
10/26/2016,21600006,Final,1610612738,1610612751,2016,1610612738,122,0.539,0.833,0.344,36,47,1610612751,117,0.443,0.8,0.341,22,44,1
10/26/2016,21600005,Final,1610612754,1610612742,2016,1610612754,130,0.505,0.765,0.526,30,52,1610612742,121,0.433,0.722,0.375,26,49,1
10/27/2016,21600015,Final,1610612741,1610612738,2016,1610612741,105,0.391,0.733,0.44,25,55,1610612738,99,0.5,0.625,0.348,22,36,1
10/27/2016,21600014,Final,1610612737,1610612764,2016,1610612737,114,0.5,0.778,0.462,28,52,1610612764,99,0.426,0.722,0.3,25,40,1
10/27/2016,21600016,Final,1610612758,1610612759,2016,1610612758,94,0.4,0.842,0.3,22,40,1610612759,102,0.456,0.889,0.333,23,40,0
10/27/2016,21600017,Final,1610612757,1610612746,2016,1610612757,106,0.459,0.75,0.222,18,48,1610612746,114,0.407,0.696,0.276,12,48,0
10/28/2016,21600020,Final,1610612765,1610612753,2016,1610612765,108,0.505,0.833,0.368,27,53,1610612753,82,0.347,0.667,0.308,20,44,1
10/28/2016,21600024,Final,1610612762,1610612747,2016,1610612762,96,0.413,0.7,0.24,14,47,1610612747,89,0.381,0.762,0.391,16,43,1
10/28/2016,21600018,Final,1610612761,1610612739,2016,1610612761,91,0.389,0.944,0.25,12,51,1610612739,94,0.418,0.727,0.375,20,40,0
10/28/2016,21600019,Final,1610612751,1610612754,2016,1610612751,103,0.437,0.85,0.303,20,52,1610612754,94,0.378,0.65,0.292,22,49,1
10/28/2016,21600022,Final,1610612748,1610612766,2016,1610612748,91,0.372,0.65,0.412,19,52,1610612766,97,0.38,0.833,0.318,20,49,0
10/28/2016,21600023,Final,1610612742,1610612745,2016,1610612742,98,0.438,0.833,0.276,13,34,1610612745,106,0.471,0.806,0.469,21,41,0
10/28/2016,21600021,Final,1610612760,1610612756,2016,1610612760,113,0.417,0.737,0.238,13,57,1610612756,110,0.447,0.656,0.179,15,44,1
10/28/2016,21600025,Final,1610612740,1610612744,2016,1610612740,114,0.47,0.652,0.227,29,49,1610612744,122,0.484,0.893,0.321,32,49,0
10/29/2016,21600032,Final,1610612759,1610612740,2016,1610612759,98,0.422,0.783,0.417,21,50,1610612740,79,0.372,0.733,0.182,14,45,1
10/29/2016,21600029,Final,1610612739,1610612753,2016,1610612739,105,0.409,0.733,0.297,17,40,1610612753,99,0.452,0.577,0.286,21,50,1
10/29/2016,21600030,Final,1610612741,1610612754,2016,1610612741,118,0.523,0.905,0.429,34,47,1610612754,101,0.489,0.889,0.389,34,33,1
10/29/2016,21600034,Final,1610612758,1610612750,2016,1610612758,106,0.459,0.76,0.346,24,31,1610612750,103,0.529,0.71,0.318,19,36,1
10/29/2016,21600026,Final,1610612755,1610612737,2016,1610612755,72,0.35,0.733,0.278,16,39,1610612737,104,0.494,0.652,0.25,31,47,0
10/29/2016,21600027,Final,1610612766,1610612738,2016,1610612766,98,0.405,0.758,0.281,22,38,1610612738,104,0.481,0.647,0.484,25,42,0
10/29/2016,21600028,Final,1610612752,1610612763,2016,1610612752,111,0.526,0.641,0.286,24,41,1610612763,104,0.43,0.808,0.36,19,40,1
10/29/2016,21600031,Final,1610612749,1610612751,2016,1610612749,110,0.466,0.833,0.364,25,44,1610612751,108,0.44,0.821,0.324,23,45,1
10/29/2016,21600033,Final,1610612743,1610612757,2016,1610612743,113,0.38,0.795,0.261,19,61,1610612757,115,0.459,0.714,0.313,23,45,0
